Unnamed: 0,crop_ratio
0,0.2018433179723502
1,1.095505617977528
2,1.125
3,0.7288888888888889
4,0.2992125984251969
5,0.9791666666666666
6,0.3048780487804878
7,0.4466666666666666
8,0.5730994152046783
9,0.467625899280576
10,0.2070175438596491
11,1.0333333333333334
12,0.1825396825396825
13,0.9117647058823528
14,0.4477611940298507
15,1.44
16,0.5893333333333334
17,0.9333333333333332
18,1.0120481927710845
19,3.347368421052632
0,0.3173843700159489
1,0.3307593307593308
2,0.3327526132404181
3,2.1868131868131866
4,0.324729392173189
5,0.6691449814126395
6,0.35650623885918
7,0.4671052631578947
8,0.3777777777777777
9,2.2
10,0.3127889060092449
11,0.2932098765432099
12,0.4846765039727582
13,0.3787740164684355
14,1.1450381679389312
15,0.5962343096234309
16,1.4482758620689655
17,0.3347107438016529
18,0.4015069967707212
19,0.248015873015873
0,3.947368421052632
1,0.2654986522911051
2,2.5625
3,0.7967479674796748
4,0.6463878326996197
5,0.3959537572254335
6,1.7875
7,0.7105263157894735
8,0.3350083752093802
9,2.6666666666666665
10,1.0
11,0.3698412698412698
12,5.363636363636363
13,1.9107142857142856
14,1.6935483870967742
15,1.2772277227722773
16,0.680161943319838
17,0.5307692307692308
18,1.462962962962963
19,0.3280334728033472
0,0.237012987012987
1,1.002849002849003
2,1.6493506493506491
3,1.588235294117647
4,0.8071748878923767
5,0.5742574257425742
6,0.9210526315789472
7,0.784841075794621
8,1.024390243902439
9,1.3548387096774193
10,1.0095541401273886
11,0.906832298136646
12,1.2125
13,0.7192982456140351
14,0.7130434782608696
15,0.7157190635451505
16,2.219858156028369
17,0.3894736842105263
18,1.813953488372093
19,1.5309278350515465
0,0.2554257095158597
1,0.2242622950819672
2,0.5059055118110236
3,0.2751572327044025
4,0.2677595628415301
5,0.2083333333333333
6,0.7227926078028748
7,0.3372456964006259
8,0.136724960254372
9,0.5008130081300813
10,0.1359953703703703
11,0.4150366748166259
12,0.2815734989648033
13,0.4060860440713536
14,0.2613521695257316
15,0.8359240069084629
16,0.4295377677564825
17,0.186155285313377
18,0.2370820668693009
19,1.136015325670498
0,1.0163934426229508
1,1.0
2,6.475
3,4.965909090909091
4,1.7538461538461538
5,0.1791304347826087
6,1.0
7,1.0144927536231885
0,0.3265536723163841
1,0.2523267838676318
2,0.1917024320457797
3,0.1418918918918918
4,0.1865671641791045
5,0.2354031510658016
6,0.4824120603015075
7,3.8452380952380953
8,0.2227231740306582
9,0.3917159763313609
10,0.3905775075987842
11,0.4953846153846153
12,0.1693963500233972
13,0.4853420195439739
14,0.1007081038552321
15,0.5691699604743083
16,0.2075198843094721
17,1.560919540229885
18,0.3884514435695538
19,0.2381443298969072
0,0.2293318233295583
1,1.09873417721519
2,0.2313797313797314
3,0.3567046450482033
4,0.2153550863723608
5,0.4604598990465507
6,0.8888242142025611
7,0.5178236397748592
8,0.134050880626223
9,0.191907514450867
10,0.3110955056179775
11,0.1417510422870756
12,0.587467362924282
13,0.5231277533039648
14,0.2799642218246869
15,0.1019777503090234
16,0.5303643724696356
17,0.2229539040451552
18,0.2713787085514834
19,0.2975970425138632
