Unnamed: 0,crop_ratio
0,0.3101604278074866
1,0.6102449888641426
2,1.0305343511450382
3,0.308433734939759
4,0.9356913183279744
5,1.3584905660377358
6,0.5384615384615384
7,1.0070921985815602
8,0.0069930069930069
9,1.0
10,1.0
11,0.8177083333333334
12,1.0132924335378324
13,0.4324324324324324
14,1.003717472118959
15,1.0
16,0.9051724137931034
17,0.3783783783783784
18,1.0
19,1.0
0,0.4310344827586206
1,2.1739130434782608
2,0.1621621621621621
3,0.2177215189873417
4,0.181640625
5,0.627831715210356
6,1.0
7,0.073170731707317
8,0.1507537688442211
9,2.6666666666666665
10,0.7241379310344828
11,0.16
12,0.4210526315789473
13,0.8648648648648649
14,0.4807692307692308
15,0.4722222222222222
16,0.04
17,0.2919463087248322
18,0.2619047619047619
19,0.2787144362486828
0,0.0193704600484261
1,0.3738317757009345
2,0.7532467532467533
3,0.7857142857142857
4,0.3662790697674418
5,0.194888178913738
6,0.5571428571428572
7,0.1447661469933185
8,0.0357142857142857
9,0.125
10,0.1472081218274111
11,0.1623616236162361
12,0.5149700598802395
13,0.3166666666666666
14,0.9856115107913668
15,0.7191011235955056
16,0.6630434782608695
17,0.40625
18,0.8090909090909091
19,0.1626794258373205
0,0.6428571428571429
1,1.0
2,1.875
3,0.6470588235294118
4,1.0
5,1.0
6,0.6111111111111112
7,0.4754098360655737
8,1.0112359550561798
9,0.9423076923076924
10,1.0
11,1.0
12,0.9324324324324323
13,1.0
14,1.0
15,1.0
16,0.9253731343283582
17,1.4074074074074074
18,1.0
19,1.0
0,0.4236417033773862
1,0.4268192968111202
2,0.28
3,0.4185257032007759
4,0.2183098591549295
5,0.3463182897862232
6,0.3713662790697674
7,0.5102040816326531
8,0.2310405643738977
9,0.3552220137585991
10,0.3696078431372549
11,0.3758542141230068
12,0.2630422844590884
13,0.2392986075296544
14,0.3619354838709677
15,0.6146723646723646
16,0.437206572769953
17,0.4103392568659127
18,0.6094527363184079
19,0.4553734061930783
0,0.4108666367310283
1,0.3329177057356609
2,0.2749603803486529
3,0.9756367663344409
4,0.408515130190007
5,0.5357347055460263
6,0.4610209734863474
7,0.758789860997547
8,0.3484162895927601
9,0.5089538171536286
10,0.4132075471698113
11,0.5020936429387134
12,0.4433453237410072
13,0.5453125
14,0.2483412322274881
15,0.2663656884875846
16,0.5613608748481167
17,0.3528790279978869
18,0.4623323013415892
19,0.5639097744360902
0,0.3391003460207612
1,0.7463768115942029
2,0.2946635730858468
3,0.8829787234042553
4,0.5453020134228188
5,0.5862646566164154
6,0.5567434210526315
7,0.3363074811256005
8,1.108108108108108
9,0.5161290322580645
10,0.2805071315372425
11,0.5501672240802675
12,0.2971057294743059
13,0.3638757240652975
14,0.9456066945606696
15,0.1767028627838104
16,0.8917525773195877
17,0.3737745098039216
18,0.1530612244897959
19,0.5027932960893855
